Artist,Song
# 1 CRUSH , Garbage 
£ 1 FISH MAN , One Pound Fish 
44, When Your Heart Stops Beating 
10 YEARS , Beautiful 
10 YEARS , Fix Me (Acoustic) 
10 YEARS , Shoot It Out 
10 YEARS , Through The Iris 
10 YEARS , Wasteland 
"10,000 MANIACS ", Candy Everybody Wants 
"10,000 MANIACS ", Like The Weather 
"10,000 MANIACS ", More Than This 
"10,000 MANIACS ", These Are The Days 
"10,000 MANIACS ", Trouble Me 
101 DALMATIANS , Cruella De Vil 
10CC , Donna 
10CC , Don't Turn Me Away 
10CC , Dreadlock Holiday 
10CC , Feel The Love 
10CC , Food For Thought 
10CC , Good Morning Judge 
10CC , I'm Mandy Fly Me 
10CC , I'm Not In Love 
10CC , Life Is A Minestrone 
10CC , One Two Five 
10CC , People In Love 
10CC , Rubber Bullets 
10CC , Silly Love 
10CC , Things We Do For Love 
10CC , Wall Street Shuffle 
10CC , Woman In Love 
112, Cupid 
112, Dance With Me 
112, It's Over Now 
112, Peaches And Cream 
112, U Already Know 
12 GAUGE , Dunkie Butt 
12 STONES , Arms Of A Stranger 
12 STONES , Far Away 
12 STONES , Shadows 
12 STONES , We Are One 
1755, Le Monde A Bien Changer 
1910 FRUITGUM COMPANY , Indian Giver
1910 FRUITGUM COMPANY , Simon Says 
1927, That's When I Think Of You 
1927, You'll Never Know 
1940S STANDARDS , Old Lamplighte 
1950S STANDARDS , Crawdad Song 
1960S STANDARDS , We Need A Little Christmas (Female) 
1960S STANDARDS , We Need A Little Christmas (Male) 
1975, A Change Of Heart 
1975, Antichrist 
1975, Chocolate 
1975, City 
1975, Girls 
1975, Girls (Clean) 
1975, Love Me 
1975, Me And You Together 
1975, Robbers 
1975, Settle Down 
1975, Sincerity Is Scary 
1975, Somebody Else 
1975, Sound 
1975, The City 
1975, The Sound 
1975, Tootime Tootime Tootime 
1975, UGH 
1999 MAN UNITED SQUAD , Lift It High (All About Belief) 
2 BE 3 , Aucune Fille Au Monde 
2 BE 3 , Partir Un Jour 
2 BROTHERS ON THE 4TH FLOOR , Let Me Be Free 
2 CHAINZ , I'm Different 
2 CHAINZ , We Own It (Fast And Furious) 
2 CHAINZ & CHRIS BROWN , Countdown 
2 CHAINZ & DRAKE , No Lie 
2 CHAINZ & KANYE WEST , Birthday Song 
2 CHAINZ & KANYE WEST , Birthday Song (Explicit)I 
2 CHAINZ & NICKI MINAJ , I Love Dem Strippers 
2 CHAINZ & PHARRELL , Feds Watching (Explicit) 
2 CHAINZ ASAP ROCKY & DRAKE & KENDRICK LAMAR , Fuckin' Problems 
2 EVISA , Oh La La La 
2 IN A ROOM , Wiggle It 
2 LIVE CREW , Do Wah Diddy Diddy 
2 LIVE CREW , Me So Horny 
2 LIVE CREW , We Want Some Pussy (Explict) 
2 PAC , California Love 
2 PAC , Changes 
2 PAC , Dear Mama 
2 PAC , Hit Em Up (Explicit) 
2 PAC , How Do You Want It 
2 PAC , I Get Around 
2 PAC , So Many Tears 
2 PAC , Thugz Mansion 
2 PAC , Until The End Of Time 
2 PAC & ERIC WILLIAMS , Do For Love 
2 PISTOLS & RAY J , You Know Me 
2 PISTOLS & T-PAIN & TAY DIZM , She Got It 
2 PLAY , So Confused 
2 PLAY & THOMES JULES & JUCXI , Careless Whisper 
2 SHY , I D Love You To Want Me 
2 UNLIMITED , No Limit 
2 UNLIMITED , Twilight Zone 
2.4 FAMILY , Lean On Me 
20 FINGERS , Boom I Fucked Your Boyfriend 
20 FINGERS , Lick It 
20 FINGERS , Short Dick Man 
